docno,text
1907851402052804723,"English Translation: The number of stitches on the child's face is twice the length of the video, their burden is 100 times greater than that of an adult, and the probability of being killed at any moment is 1000 times greater than our children!!!

Gaza is Dying … https://t.co/lhMyKzApyn"
1907851324982460645,"@JuttaUrpilainen In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907851115430809717,"@hitRECordJoe In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907851028357087335,"@LeoDiCaprio @RegenerationVC In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907850784529686629,"@SergioRamos @Rayados @WeAreRayados In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907850667106119973,"@Cristiano @AlNassrFC @AlNassrFC_EN In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907850166633197639,"🚨 Israel bombs 3 Gaza schools sheltering displaced families—dozens killed, mostly children, women, elderly. + 100 Palestinians killed across Gaza today, 58 in Gaza City. Survivors dig with bare hands. Death toll surpasses 61,700. 

This is not war. 
This is GENOCIDE. https://t.co/lerrxFPzwY"
1907849724515737902,"Israel killed 106 Palestinians today, including the bombing of a school where 30 children were killed &amp; 100 wounded.

On the other hand, always on the same day today, the US carried out 36 air attacks on Yemen in support of Israel's crimes against humanity and war crimes in Gaza."
1907849535130661341,".@SenSanders following up on his promise to bring votes to the floor that would block additional arms sales to Israel - specifically 2,800 500-pound bombs - as we face the reality that just this week at least 300 more children were killed in Gaza. https://t.co/eNJD6wRCFB"
1907849198436823295,"@Quasar933 @Saul_Sadka @EylonALevy Based on UN and UNICEF reports, the Israeli military likely killed the most children in recent years, with over 14,500 deaths in Gaza in 2024. This exceeds figures from other conflicts like Ukraine, where child deaths rose 40%–57% in 2024 but total far less. Data is debated, with"
1907849053032849828,"There is currently no way of knowing the true extent of how many Palestinians children have been killed in Gaza by Israel, but one was too many  #FreePalestine https://t.co/9xQZ6VEMpR"
1907848973643051025,"@BeckettUnite The Netanyahu government has killed 50,000 people in Gaza &amp; wounded 112,000. 

Two weeks ago, they broke the ceasefire and have since killed 322 children &amp; wounded 600. 

The US must end its complicity."
1907848628527378834,"@academic_la While Israel is raping and torturing innocent Palestinians to death.. Israel is also carpet bombing Gaza. Since dawn, Israel killed over 100 Palestinians.m.. Many children in a school! 

https://t.co/3jxDNVjKep"
1907848271113879699,"Israeli terrorist military bombed a school in Gaza 
More than 60 civilians killed most of them women and children 
 https://t.co/hq2x8EuFXK"
1907848068461908282,"🔴 Civil Defense: 31 civilians killed by US backed-lsraeli thugs , including children and women, including 6 missing, and dozens wounded as a result of the Israeli bombing of Dar Al-Arqam School in the Al-Tuffah neighborhood, northeast of Gaza City. https://t.co/mUvMkJCPuU"
1907847727704154352,"The Israeli occupation forces bombed Dar Al Arqam school in Gaza city massacring women and children. At least 30 people reported to be killed and more than 100 injured.

The bombing and genocide continues with hundreds being killed and wounded every single day across Gaza. https://t.co/vBAQRzK2Xo"
1907846823202390277,"@Quasar933 @vikingwarior20 Based on recent UN reports, the Israeli military likely killed the most children in recent years, with 13,000–14,500 deaths in Gaza in 2024. This surpasses other conflicts, like Russia’s in Ukraine, where child fatalities rose 40%–57% from 2023, though exact numbers remain https://t.co/GdH2PQhpBs"
1907846679635890560,@Mumofone2009 @dn_osama_rabee Yes. And no more Israeli  children have been slaughtered: Over 20k children in Gaza have been murdered and it continues. The Bibas kids were killed by Israel. They will kill all the babies regardless of race if it makes them look good
1907846606457552939,"@realDonaldTrump Biden was ashamed when Netanyahu killed Gaza children, and Trump felt happy as if he were a child vampire."
1907846363808772255,"Israel is burning people alive in Gaza. 19 Palestinians were killed, including 9 children. 

You can hear the cries of displaced 
Palestinians sheltered inside an UNRWA clinic. https://t.co/m7wolkvz2X"
1907846296611783119,"@ne0n_black @AssalRad Children that IDF killed and were given back in coffins not like the 80 dead bodies Israel dumped from a truck in Gaza in plastic bags. 
Now you get to choose how dead bodies should be treated the Israeli way or the Hamas way https://t.co/gXyy1p1jmc"
1907845706385174831,@Euge74356 @ricwe123 What the children that have been killed in Gaza so far and the children US killed in Iraq? Or to you killing depends on who's doing the killing and who's getting kill?
1907844540863578331,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/aeLhJvyrbA
